COMPANY;TICKER;Allianz Polska TFI S.A.;BNP Paribas TFI S.A.;ESALIENS TFI S.A.;Generali Investments TFI S.A.;Goldman Sachs TFI S.A.;Investors TFI S.A.;Millennium TFI S.A.;Nationale-Nederlanden;PFR TFI S.A.;PKO TFI S.A.;PZU TFI S.A.;Pekao TFI S.A.;Pocztylion;Santander TFI S.A.;UNIQA TFI S.A.;Vienna Life;TOTAL
GIEŁDA PAPIERÓW WARTOŚCIOWYCH W WARSZAWIE S.A.;GPW PW Equity;;0.0017418318438304817;;;0.0010573638248664152;0.0014990160817896697;;;;0.0024271759513000796;;;0.006380867625822773;;0.09438594704851903;;0.10749220237612846
Grenergy Renovables S.A.;GRE SM Equity;;;;;;;;0.008723533159811945;;;;;;;;;0.008723533159811945
GRODNO S.A.;GRN PW Equity;;0.0002637416831919173;;;;;;;;;;;;0.005780160994198306;;;0.006043902677390223
GREENEX METALS LTD;GRX AU Equity;;0.0005777533015360335;;;;;;;;;;;;;;;0.0005777533015360335
GLOBE TRADE CENTRE SA;GTC PW Equity;;;;;;;;;;0.00003466200071807775;;;;;;;0.00003466200071807775
Hensoldt AG;HAG GR Equity;;;;;;0.0012695019881251796;;;;;0.0018668459386223077;;;;;;0.003136347926747487
PRZEDSIEBIORSTWO HYDRAULIKI SI;HDR PW Equity;;;;;;;;;;0.00032778855039944314;;;;;;;0.00032778855039944314
HEIDELBERG MATERIALS AG;HEI GR Equity;;;;;;0.003976971068731399;;;;;;;;;;;0.003976971068731399
Thales SA;HO FP Equity;;;;;;;;;;;0.002140817356336503;;;;;;0.002140817356336503
HUUUGE INC;HUG PW Equity;;;;;0.0010861520623982031;;;;;0.00062178594753457404;;0.0024434254748176332;;;0.0009200259337530067;;0.005071389418503417
INDRA SISTEMAS SA;IDR SM Equity;;;;;;0.0008675157604717247;;;;;;;;;;;0.0008675157604717247
INDUSTRIAL MILK COMPANY S.A.;IMC PW Equity;;0.00022989737678933975;;;;;;;;;;;;;;;0.00022989737678933975
IMS S.A.;IMS PW Equity;;0.0007273238164458755;;;;;;;;;;;;;;;0.0007273238164458755
ING BANK ŚLĄSKI S.A.;ING PW Equity;0.013560379250144268;0.02075760253217725;0.000038586775791658776;0.008213409278876991;0.008614211055698663;0.016830683494778613;0.019514459644950526;0.025170568952161436;0.019892739365504595;0.017640376463468135;;0.00009721518662805807;0.019801242712135396;;0.0015460670580635735;0.008162789456237316;0.1798403312266165
ING GROEP NV;INGA NA Equity;;;0.003189197329908661;;;0.003262746224880598;;0.0019861653012038555;;;;;;;;;0.008438108855993114
INSTAL KRAKÓW S.A.;INK PW Equity;;0.0004859671330675408;;;;;;;;;;;;;;;0.0004859671330675408
INTROL S.A.;INL PW Equity;;0.0007703403097530452;;;;;;;;;;;;;;;0.0007703403097530452
INPOST S.A.;INPST NA Equity;;0.008410610713899934;;0.016646357035493293;0.0039249551578644576;0.006744151521682008;0.005628289376728045;0.003661009593386049;;;0.010235643889521064;0.0206211832263108;;0.02142138805405922;0.0016581036519295742;;0.09895169222087445
INTEL CORP;INTC US Equity;;;;;;;;0.00019362920754337605;;;;;;0.00550819458055689;;;0.005701823788100266
INGERSOLL-RAND INC;IR US Equity;;;;;;0.0005133984600800926;;;;;;;;;;;0.0005133984600800926
IREN LTD;IREN US Equity;;;;;;;;;;;;;;0.004524089738861904;;;0.004524089738861904
INTUITIVE SURGICAL INC;ISRG US Equity;;;;;;0.001309532975305233;;;;;;;;;;;0.001309532975305233
IZOBLOK S.A.;IZB PW Equity;;;;;;;;;;;;;;0.0004318107495175668;;;0.0004318107495175668
Jeronimo Martins SGPS S.A.;JMT PL Equity;;;0.008647781444920665;;;0.0015027037350033687;;;;;;0.015353377579369394;;;;;0.025503862759293425
JPMORGAN CHASE & CO;JPM US Equity;;;;;;0.003770854390984534;;0.00685592836185001;;;;;;;;;0.010626782752834543
JASTRZĘBSKA SPÓŁKA WĘGLOWA S.A.;JSW PW Equity;;0.000958030863059095;;;0.0017904354299540806;;;;;0.003808054209688094;;;;;0.000518760009923301;;0.007075280512624571
KGHM POLSKA MIEDŹ S.A.;KGH PW Equity;0.10201602374188427;0.05211696300664316;0.0004759224001009276;0.05524421505404618;0.0631107899803594;0.05597630111110343;0.05247548322383239;0.03159030385997283;0.08504634558664309;0.05580806465129729;0.04107793254839209;0.026587728044355403;0.05095970180177766;0.04406400158204102;0.03077392777603941;0.08105215122221693;0.8283758555907055
COCA-COLA CO/THE;KO US Equity;;;;;;0.001850918403327991;;0.00041132167236007086;;;;;;;;;0.0022622400756880617
KINO POLSKA TV S.A.;KPL PW Equity;;0.0010546402964533606;;;;;;;;;;;;;;;0.0010546402964533606
PLN KRKA DD NOVO MESTO;KRKG SV Equity;;;0.00029084827449771932;;;;;;;;;;;;;;0.00029084827449771932
KARMAN HOLDINGS INC;KRMN US Equity;;;;;;0.00040675429830686366;;;;;;;;;;;0.00040675429830686366
KRUK S.A.;KRU PW Equity;0.015683612628367298;0.017826958780456297;0.0040566537271423353;0.02388258213920734;0.013902957968232499;;0.019429017652186045;0.01291926752456114;0.009826613403003516;0.015195752511630547;0.01715011351922276;0.014652470477521682;0.0268691562730418;0.011760225349519882;0.005549869186471258;0.03632172685553842;0.2450269779961028
KONTRON AG;KTN GR Equity;;;;;0.0020962397466205454;;;;;;;;;;;;0.0020962397466205454
KRATOS DEFENSE & SECURITY SOLUTIONS INC;KTOS US Equity;;;;;;0.0023716368783014494;;;;;;;;;;;0.0023716368783014494
Grupa Kęty S.A.;KTY PW Equity;0.0039424354012581797;0.015258630151427148;0.000916061638976318;0.017549750787779335;0.013856983351406378;0.02183696259563389;0.01565409260782702;0.018020840827085354;0.01414861236751161;0.014970861917986058;0.009680940315265865;0.015529241500966748;0.02767535824877227;;0.003527346917201506;0.04291861398566192;0.2354867326147596
LUBAWA S.A.;LBW PW Equity;0.0027736745150339526;;;;0.007260326945953165;;;;;;;;;;;;0.010034001460987119
Leonardo SPA;LDO IM Equity;;;;;;;;;;;0.0024830063422572596;;;;;;0.0024830063422572596
Linde Plc;LIN US Equity;;;;;;;;0.0005781007784263124;;;;;;;;;0.0005781007784263124
CHENIERE ENERGY INC;LNG US Equity;;;;;;0.00053374841528918665;;;;;;;;;;;0.00053374841528918665
LPP S.A.;LPP PW Equity;0.073514790429498555;0.06279215789419334;0.073186204338169984;0.0895924209221122;0.05434486971493991;0.007921419865792635;0.06646586070109778;0.05734352840062918;0.05695662237587067;0.04979871001036814;0.061583298799697825;0.07649777465088513;0.07547224556802908;0.04861637998099762;0.034644940881424615;;0.8887312245337066
LUNDIN MINING CORP;LUN CN Equity;;;;;;0.002285210285026586;;0.012652196697291638;;;;;;;;;0.014937406982318224
LUBELSKI WĘGIEL BOGDANKA S.A.;LWB PW Equity;;0.0019249185225589996;0.00007660859146923764;;;0.0003377756058347017;;;;;;;;;;;0.002339302719862939
MASTERCARD INC.;MA US Equity;;;;;;0.0032470994301504313;;;;;;;;;;;0.0032470994301504313
