COMPANY;TICKER;Allianz Polska TFI S.A.;BNP Paribas TFI S.A.;ESALIENS TFI S.A.;Generali Investments TFI S.A.;Goldman Sachs TFI S.A.;Investors TFI S.A.;Millennium TFI S.A.;Nationale-Nederlanden;PFR TFI S.A.;PKO TFI S.A.;Pekao TFI S.A.;Pocztylion;Santander TFI S.A.;UNIQA TFI S.A.;TOTAL
GN Store Nord A/S;GN DC Equity;0.004824557152190274;;;;;;;;;;;;0.006074349542276899;;0.010898906694467172
ALPHABET, INC.;GOOGL Equity;;;;;;0.00006616518004846377;;;;;;;;;0.00006616518004846377
ALPHABET INC.;GOOGL US Equity;;;0.016263793461315141;0.012427220655512285;;;;;;;0.029238890428582724;;0.018855033816337432;;0.07678493836174758
GRUPA PRACUJ S.A.;GPP PW Equity;;0.00012904351931438117;;;;;;;;0.0006325240339404258;0.0017681463430060404;;;0.013346699829352409;0.015876413725613256
GIEŁDA PAPIERÓW WARTOŚCIOWYCH W WARSZAWIE S.A.;GPW PW Equity;;0.0021922086398362736;;;0.0019464280255823707;0.0019715694425913502;;;;0.0024631198777118596;;;;;0.008573325985721854
GRODNO S.A.;GRN PW Equity;;0.00184144413091183;;;;;;;;;;;0.0017259784781538456;;0.003567422609065676
Goldman Sachs Group Inc;GS US Equity;;;;0.007261770281821022;;;;;;;;;;;0.007261770281821022
Globe Trade Centre S.A.;GTC PW Equity;;;;;;0.0009116661807088586;0.0026171630023250486;;;0.00025949812598155184;;;;;0.003788327309015459
HUUUGE INC.;HUG PW Equity;0.012897986064431444;0.00394052779161592;0.02587953593999756;;0.00272823768709222;;;0.015434732866274816;0.0000691181660774733;0.0017273093546879234;0.01451990312112172;;0.008024857016691337;;0.08522220800799042
PLN HYDROGENPRO AS;HYPRO NO Equity;;;0.00004652919419897991;;;;;;;;;;;;0.00004652919419897991
Medinice S.A.;ICE PW Equity;0.0023306491773291116;;;;;;;0.0038088577658861245;;;;;;;0.006139506943215236
Indra Sistemas SA;IDR SM Equity;;;;;;;;0.013732792245752663;;;;;;;0.013732792245752663
Infineon Technologies AG;IFX GR Equity;0.004484152755767398;;;;;;;;;;;;;;0.004484152755767398
PLN ILLUMINA INC;ILMN US Equity;;;0.000577203013820319;;;;;;;;;;;;0.000577203013820319
PLN IMPACT COATINGS AB;IMPC SS Equity;;;0.00014905535693469382;;;;;;;;;;;;0.00014905535693469382
IMS S.A.;IMS PW Equity;;0.0046151204799185863;;;;;;;;;;;;;0.0046151204799185863
INFINERA CORP;INFN US Equity;;;;;;;;;;;;;0.0043154737995717474;;0.0043154737995717474
ING BANK ŚLĄSKI S.A.;ING PW Equity;;0.02005826038664971;0.006250181805142083;0.009144776631759668;0.014080246018354432;0.014536964639262062;0.007801332882833825;0.012562449852149222;0.009287395204286284;0.0017652362817416906;0.0005426812628140642;0.013147310518470248;;0.010116680223804067;0.11929351570726736
PLN ING GROEP NV;INGA NA Equity;;;0.01016631632635045;;;;;;;;;;;;0.01016631632635045
INTROL S.A.;INL PW Equity;;0.0021683586724923057;;;;;;;;;;;;;0.0021683586724923057
InPost S.A.;INPST NA Equity;;;;0.00757002735953641;;;;0.01051105382449427;;;0.01951438852508376;;0.010371716169036682;0.009480368647569195;0.05744755452572032
International Petroleum Corp.;IPCO SS Equity;;;;;;;;0.009845539104054309;;;;;;;0.009845539104054309
PLN INTUITIVE SURGICAL INC;ISRG US Equity;;;0.001767434328067597;;;;;;;;;;;;0.001767434328067597
IZOBLOK S.A.;IZB PW Equity;;;;;;;;;;;;;0.0024742491788794105;;0.0024742491788794105
Johnson Controls International;JCI US Equity;;;;;;;;;;;0.01240626375895283;;;;0.01240626375895283
PLN JENOPTIK AG;JEN GR Equity;;;0.00014396190666815533;;;;;;;;;;;;0.00014396190666815533
PLN JERONIMO MARTINS SGPS S.A.;JMT PL Equity;;;0.0392411520069996;0.010040757522354296;;;;;;;0.002592280006318767;;;;0.05187418953567266
JP Morgan Chase & Co.;JPM US Equity;;;;;;;;0.00956263651571863;;;;;;;0.00956263651571863
JASTRZĘBSKA SPÓŁKA WĘGLOWA S.A.;JSW PW Equity;;0.010972581844289466;0.022623441093053445;;0.0041511110349844754;0.011555195673607408;0.010697043983537482;;0.022655186121121194;0.008448319481779702;;;0.00398822990537316;0.0227538834921561;0.11784499262990243
KGHM POLSKA MIEDŹ S.A.;KGH PW Equity;0.031735389581475446;0.05130053364052422;0.018365324716562461;0.02419929414786506;0.04898598490412335;0.05548421249331544;0.052483298850853854;0.037661578983740807;0.0451281048964332;0.0537410207848781;0.038269498875137753;0.0324608642075875;0.03972276219039292;0.039012214375358734;0.5685500826482489
ZESPÓŁ ELEKTROCIEPŁOWNI WROCŁAWSKICH KOGENERACJA S.A.;KGN PW Equity;;0.00045356147400354326;;;;;;;;;;;;;0.00045356147400354326
KINO POLSKA TV S.A.;KPL PW Equity;;0.002276493548729113;;;;;;;;;;;;;0.002276493548729113
PLN KRKA DD NOVO MESTO;KRKG SV Equity;;;0.00062180757268091476;;;;;;;;;;;;0.00062180757268091476
KRUK S.A.;KRU PW Equity;0.025786042123743975;0.019676384033175434;;0.01812790402144001;0.02432060759533785;0.020473315607992433;0.020152123452675155;0.03164687405477655;0.03812439792413882;0.02776046786920561;0.008515333318619431;0.021573733959389783;0.019023294435601474;0.016240231251792512;0.29142070964788907
GRUPA KĘTY S.A.;KTY PW Equity;0.01855881084033561;0.019487448377994443;;0.02033718605561108;0.018346763225747988;0.038031872851334976;0.014604774697773664;0.0056495833857446;0.013264989813485881;0.026052188317336773;0.009741622201682734;0.015892010771238636;0.009890233700131883;0.013800145712690985;0.22365762995110927
Kerry Group PLC;KYGA ID Equity;;;;;;;;;;;0.006810562010896015;;;;0.006810562010896015
LEONARDO SPA;LDO IM Equity;;;;;;;;;;;;;0.009381535433522085;;0.009381535433522085
LOKUM DEWELOPER S.A.;LKD PW Equity;;0.0014384270092728427;;;;;;;;;;;;;0.0014384270092728427
Lockheed Martin Corporation;LMT US Equity;;;;;;;;;;;0.006819547031459692;;;;0.006819547031459692
LPP S.A.;LPP PW Equity;0.05641271109777592;0.04337374764440826;0.01061575818897173;0.0464173627825844;0.04841461155117866;0.029255580011520173;0.037690934288278197;0.036434730805809936;0.04375370146188677;0.05454688888008753;0.04458403198350119;0.03722816536659468;0.03525488730959786;0.018673593090441605;0.5426567044626369
LSI SOFTWARE S.A.;LSI PW Equity;;0.0016712684324955943;;;;;;;;;;;;;0.0016712684324955943
LUBELSKI WĘGIEL BOGDANKA S.A.;LWB PW Equity;;0.0046993604769533726;0.002038340863055369;;;;;;0.01210240779160057;;;;0.0049197733397782606;0.005460966889218947;0.029220849360606516
MABION S.A.;MAB PW Equity;;0.000026029560741898405;;;0.00027677677490053176;;;;;0.0000031655453454524957;;;;;0.00030597188098788267
MBANK S.A.;MBK PW Equity;0.019851855914573016;0.011245027799542702;0.005883192060199638;0.020621637228158223;0.008853520766657963;0.019400788883935944;0.007009989571749097;;0.01110320507397788;0.011699051648768182;0.016470645146291176;0.006238791073582968;0.0119215587634709;;0.1502992639309077
MO-BRUK S.A.;MBR PW Equity;;0.003113277122204474;;;0.0026952785936742263;;0.006494351939190055;;;0.0025094830170617655;0.012671194538699215;;0.007395909044002119;0.007873049332593073;0.04275254358742493
MEYER BURGER TECHNOLOGY AG;MBTN SW Equity;;;;;;;;;;;;;0.006964557248670159;;0.006964557248670159
LVMH Moet Hennessy Louis Vuitton;MC FP Equity;;;;0.009041481823706045;;;;;;;;;;;0.009041481823706045
MERCOR S.A.;MCR PW Equity;;0.0014862541137380586;;;;;;;;;;;;;0.0014862541137380586
MEDIGENE AG;MDG1 GR Equity;;;;;;;;;;;;;0.001270611037212972;;0.001270611037212972
META PLATFORMS, INC.;META US Equity;;;0.026623128878915416;0.0021972947315113772;;;;;;;0.004737996360989188;;0.006495555835672732;;0.040053975807088715
MFO S.A.;MFO PW Equity;;0.002335344180217243;;;;;;;;;;;0.009784256359166617;0.0024643697394776215;0.01458397027886148
MANGATA HOLDING S.A.;MGT PW Equity;;0.0005868386200805213;;;;;;;;;;0.004351881163893382;;;0.0049387197839739033
BANK MILLENNIUM S.A.;MIL PW Equity;;0.007776131502409738;;;0.005029300060984325;0.014796492694565855;;;0.0038771486499770186;0.013960315170137134;0.006145053459338189;0.004889078087373578;0.009278200028922444;;0.06575171965370829
PLN MINESTO AB;MINEST SS Equity;;;0.001874575724551851;;;;;;;;;;;;0.001874575724551851
MKS INSTRUMENTS, INC.;MKSI US Equity;;;;;;;;;;;;;0.004032464742309377;;0.004032464742309377
MLP GROUP S.A.;MLG PW Equity;;0.00009664903073244156;;;0.004795138986346847;0.00290134987478098;;;;;0.00357871330101771;;;0.0017814622538649774;0.013153313446742958
ML SYSTEM SA;MLS PW Equity;;0.00026308046456700408;;;;;0.007469582412188422;;;;;;;;0.007732662876755426
PLN MAYR MELNHOF KARTON AG;MMK AV Equity;;;0.002299336114513782;;;;;;;;;;;;0.002299336114513782
MENNICA SKARBOWA S.A.;MNS PW Equity;;;;;;;;;0.0025790971660557427;;;;;;0.0025790971660557427
Molecure S.A.;MOC PW Equity;0.002848319927921575;0.0007999799960330595;;;;;;;;;;;;;0.0036482999239546343
PLN MOL HUNGARIAN OIL;MOL HB Equity;;;0.014646845176615917;;;;;;;;;;;;0.014646845176615917
PLN THE MOSAIC COMPANY;MOS US Equity;;;0.0084067718502625;;;;;;;;;;;;0.0084067718502625
